item_id,title,tags,genres,specs,developer,publisher,release_year,sentiment
i_00000,Counter-Strike,Action|FPS|Multiplayer|Shooter|Classic|Team-Based|Competitive|First-Person|Tactical|1990's|e-sports|PvP|Military|Strategy|Score Attack|Survival|Assassin|1980s|Ninja|Tower Defense,Action,Multi-player|Valve Anti-Cheat enabled,Valve,Valve,2000,Overwhelmingly Positive
i_00001,Rag Doll Kung Fu,Indie|Fighting|Multiplayer,Indie,Single-player|Multi-player,Mark Healey,Mark Healey,2005,Mixed
i_00002,Silo 2,Animation & Modeling|Software,Animation &amp; Modeling,,Nevercenter Ltd. Co.,Nevercenter Ltd. Co.,2012,Mostly Positive
i_00003,Call of Duty: World at War,Zombies|World War II|FPS|Action|Multiplayer|Shooter|Moddable|Co-op|First-Person|Singleplayer|War|Online Co-Op|Gore|Historical|Survival|Classic|Tanks|Great Soundtrack|Adventure|Horror,Action,Single-player|Multi-player|Co-op,Treyarch,Activision,2008,Very Positive
i_00004,3D-Coat V4.8,Animation & Modeling,Animation &amp; Modeling,Steam Cloud,Pilgway,Pilgway,2012,Very Positive
i_00005,King's Quest™ Collection,Adventure|Point & Click|Classic|Fantasy|Retro|Pixel Graphics|1990's|1980s|Female Protagonist,Adventure,Single-player,Sierra,Activision,2006,Mostly Positive
i_00006,Space Quest™ Collection,Adventure|Point & Click|Classic|Comedy|Sci-fi|Space|Retro|Pixel Graphics|1990's|1980s|Third Person,Adventure,Single-player,Sierra,Activision,2006,Mostly Positive
i_00007,Aces of the Galaxy™,Action|Casual|Space|On-Rails Shooter,Action|Casual,Single-player,Artech Studios,Activision,2008,Mixed
i_00008,TimeShift™,Action|FPS|Time Manipulation|Sci-fi|First-Person|Shooter|Atmospheric|Singleplayer|Bullet Time|Multiplayer|Classic|Futuristic|Time Travel,Action,Single-player|Multi-player,Saber Interactive,Activision,2007,Mostly Positive
i_00009,3D Ultra™ Minigolf Adventures,Sports|Mini Golf|Golf|Local Multiplayer,Sports,Single-player,Wanako Games,Activision,2006,Mostly Positive
i_00010,Prototype™,Action|Open World|Adventure|Third Person|Gore|Singleplayer|Parkour|Superhero|Zombies|Hack and Slash|Action-Adventure|Violent|Sci-fi|Sandbox|Story Rich|Stealth|RPG|Atmospheric|Controller|Horror,Action|Adventure,Single-player,Radical Entertainment,Activision,2009,Very Positive
i_00011,Call of Duty®: Modern Warfare® 2,Action|FPS|Multiplayer|Shooter|First-Person|Singleplayer|War|Co-op|Military|Online Co-Op|PvP|Great Soundtrack|Adventure|Story Rich|Atmospheric|Linear|Tactical|Strategy|Moddable|Zombies,Action,Single-player|Multi-player|Co-op|Steam Achievements|Steam Cloud|Valve Anti-Cheat enabled,"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",2009,Very Positive
i_00012,Call of Duty®: Modern Warfare® 2 Stimulus Package,Action|Multiplayer|FPS|Free to Play,Action,Multi-player|Downloadable Content|Steam Cloud|Valve Anti-Cheat enabled,"Infinity Ward,Aspyr (Mac)","Activision, Aspyr (Mac)",2010,Mostly Positive
